year,month,member_casual,number_of_rides,average_duration
2019,January,casual,4602,2839.4834854411124
2019,January,member,98670,939.0025843721496
2019,February,casual,2638,8736.291129643669
2019,February,member,93548,804.2173322786164
2019,March,casual,15923,3138.3540790052125
2019,March,member,149688,782.4209422264978
2019,April,casual,47744,3056.547147285523
2019,April,member,217566,810.7675280144875
2019,May,casual,81624,3074.301724982848
2019,May,member,285834,830.9938250872884
2019,June,casual,130218,2755.2023913744642
2019,June,member,345177,872.8464787630694
2019,July,casual,175632,3587.029499180104
2019,July,member,381683,985.9999816601735
2019,August,casual,186889,4020.4513427756583
2019,August,member,403295,971.1324291151639
2019,September,casual,129173,3100.0021831187632
2019,September,member,364046,847.8389159611697
2019,October,casual,71035,3539.5290209051877
2019,October,member,300751,781.8532506957583
2019,November,casual,18723,4021.965817443786
2019,November,member,158440,745.9242552385762
2019,December,casual,16430,3799.959403530128
2019,December,member,138662,684.9098383118662
2020,January,casual,7785,9698.969171483623
2020,January,member,136099,668.9422552700607
2020,February,casual,12314,7997.164609387689
2020,February,member,126714,768.3971621131051
2020,March,casual,24615,4250.223034734918
2020,March,member,115593,860.0643551080083
