"","member_casual","year_month","number_of_rides","average_duration"
"1","casual",Jan 2019,4602,2839.48348544111
"2","casual",Feb 2019,2638,8736.29112964367
"3","casual",Mar 2019,15923,3138.35407900521
"4","casual",Apr 2019,47744,3056.54714728552
"5","casual",May 2019,81624,3074.30172498285
"6","casual",Jun 2019,130218,2755.20239137446
"7","casual",Jul 2019,175632,3587.0294991801
"8","casual",Aug 2019,186889,4020.45134277566
"9","casual",Sep 2019,129173,3100.00218311876
"10","casual",Oct 2019,71035,3539.52902090519
"11","casual",Nov 2019,18723,4021.96581744379
"12","casual",Dec 2019,16430,3799.95940353013
"13","casual",Jan 2020,7785,9698.96917148362
"14","casual",Feb 2020,12314,7997.16460938769
"15","casual",Mar 2020,24615,4250.22303473492
"16","member",Jan 2019,98670,939.00258437215
"17","member",Feb 2019,93548,804.217332278616
"18","member",Mar 2019,149688,782.420942226498
"19","member",Apr 2019,217566,810.767528014488
"20","member",May 2019,285834,830.993825087289
"21","member",Jun 2019,345177,872.846478763069
"22","member",Jul 2019,381683,985.999981660173
"23","member",Aug 2019,403295,971.132429115164
"24","member",Sep 2019,364046,847.83891596117
"25","member",Oct 2019,300751,781.853250695758
"26","member",Nov 2019,158440,745.924255238576
"27","member",Dec 2019,138662,684.909838311866
"28","member",Jan 2020,136099,668.942255270061
"29","member",Feb 2020,126714,768.397162113105
"30","member",Mar 2020,115593,860.064355108008
